Book_Author,Book_Title,Series_Name,Book_Co_Author,Illustrators,Translators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Sch_Dist,City,County,Sch_Name,Lib_Name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4
"Lauture, DenizA",Running the Road to ABC,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Coerr, Eleanor",Sadako,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"a Taylor, Simon",Sally and the Magical Sneeze,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Chinn, Karen",Sam and the Lucky Money,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Gabriel, Dani",Sam!,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Johnson, R. Kikuo",Shark King,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Lyons, Kelly Starling",Sing a Song,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Javaherbin, Mina",Soccer Star,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Tonatiuh, Duncan",Soldier for Equality,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Krull, Kathleen",Sonia Sotomayor,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Goldsaito, Katrina",Sound of Silence,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Lin, Grace",Starry River of the Sky,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Schiffer, Miriam B",Stella Brings the Family,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Pitman, Gayle E",Stonewall Riots,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Sanders, Rob",Stonewall: A Building. An Uprising. A Revolution,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Uhlberg, Myron",Storm Called Katrina,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Nyong'o, Lupita",Sulwe,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Johnson, Angela",Sweet Smell of Roses,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Miller, Natalie Davis",Swimming With Faith,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Cohen, Barbara","Thank You, Jackie Robinson",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Bruchac, Joseph",Thirteen Moons on the Turtle's Back,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"a Bermudez, Cyn",This Place is Not My Home,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Alexie, Sherman",Thunder Boy Jr.,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Nolen, Jerdine",Thunder Rose,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Addasi, Maha",Time to Pray,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Vanasse, Deb",Totem Tale,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Nye, Naomi Shihab",Turtle of Oman,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Bruchac, Joseph",Two Roads,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Mitchell, Margaree King",Uncle Jed's Barber Shop,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Ewert, Marcus","10,000 Dresses",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Deedy, Carmen Agra",14 Cows for America,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Dorros, Arthur",Abuela,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Gonzalez, Xelena",All Around Us,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Martinez-Neal, Juana",Alma and How She Got Her Name,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Williams, Karen Lynn","Four Feet, Two Sandals",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Maillard, Kevin Noble",Fry Bread,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Cervantes, Angela","Gaby, Lost and Found",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Zia, Farhana",Garden of My Imaan,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Lyons, Kelly Starling",Going Down Home with Daddy,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Marsden, Carolyn",Gold-Threaded Dress,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Polonsky, Ami",Gracefully Grayson,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Tompert, Ann",Grandfather Tang's Story: A Tale Told with Tangrams,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Birtha, Becky",Grandmama's Pride,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Greenfield, Eloise",Great Migration,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Turner, Pamela S.",Hachiko,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Lord, Cynthia",Handful of Stars,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Tavares, Matt",Henry Aaron's Dream,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Robinson, Sharon",Hero Two Doors Down,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Robertson, Sebastian",Hiawatha and the Peacemaker,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Ho, Minfong",Hush! A Thai Lullaby,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Jennings, Jazz",I am Jazz,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"King, Dedie",I See the Sun in Afganistan,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Polacco, Patricia",In Our Mother's House,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"van Alkemade, Kim",Bachelor GIrl,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,North Carolina,Wake County,,,,,Unknown,,,,,,
"Glines, Abbi",Bad for You,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",Unknown,,,School ,October,2021,Oklahoma,Bristow Public Schools,,,,,Unknown,,,,,,
"Glines, Abbi",Bad for You,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter

Removed 1/11/22 for ""overtly sexual content""",Banned,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Ungar-Sargon, Batya",Bad News: How Woke Medica is Underminindg Democracy,,,,,Targeted During Board Meeting,Parent,Challenged - On Shelves,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,Unknown,,,School ,,,Wyoming,Natrona County,,,,,Unknown,,,,,,
"Sanchez, Alex",Bait,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Mochizuki, Ken",Baseball Saved Us,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
Unclear,Batman: The Brave and the Bold -,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,gun complaint,Retained,,,School ,,,Missouri,Rockwood,,,,,Unknown,,,,,,
"Murphy, Sean",Batman: White Knight,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,2022-23 school year,Unknown,,,School ,,,Missouri,Rockwood,,,,,Unknown,,,,,,
"La Sala, Ryan",Be Dazzled,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"The Nib/Bors, Matt","Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib",,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,2022-23 school year,Unknown,,,School ,,,Missouri,Rockwood,,,,,Unknown,,,,,,
"Stead, Rebecca",The List of Things That Will Not Change,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Sloan, Holly Goldberg","The Night Owl, From Dogfish",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Coulson, Art",Unstoppable,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Jones, Kelly",Unusual Chickens for the Exceptional Poultry Farmer,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Howard, Elizabeth Fitzgerald",Virgie Goes to School with Us Boys,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
,We Are Grateful: Otsaliheliga,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Robinson, Lisa",Were I Not A Girl,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Lukoff, Kyle",When Aiden Became a Brother,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Mahin, Michael",When Angels Sing,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Lee, Uk-Bae",When Spring Comes to the DMZ,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Rau, Dana Meachen",Who is the Dalai Lama?,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Rappaport, Doreen",Wilma's Way Home,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Ashford, Jeron",Winter Candle,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Namioka, Lensey",Yang the Third and Her Impossible Family,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Namioka, Lensey",Yang the Youngest and His Terrible Ear,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Wells, Rosemary",Yoko,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Muth, Jon J.",Zen Shorts,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"The Nib/Bors, Matt","Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,FIVE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"The Nib/Bors, Matt","Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib",,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Carpenter, Amy R.","Be Strong, Be Wise: The Young Adult’s Guide to Sexual Assault Awareness and Personal Safety",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,FIVE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Spangler, Brie",Beast,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Reed, Amy",Beautiful,,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,in quarentine - List 4,Unknown,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,,,,
